timestamp,seconds,role,pid,pcpu,rss_mb,vsz_mb,etime
2026-08-28 22:48:48,0,game,27291,72.0,1330.1,46556.3,10:59
2026-08-28 22:48:48,0,wineserver,27386,2.2,222.7,34837.3,10:59
2026-08-28 22:48:48,0,grap,29409,0.2,322.7,42662.0,10:20
2026-08-28 22:49:18,30,game,27291,144.5,1380.4,46571.1,11:29
2026-08-28 22:49:18,30,wineserver,27386,2.4,131.7,34747.3,11:29
2026-08-28 22:49:18,30,grap,29409,0.7,322.6,42662.0,10:50
2026-08-28 22:49:48,60,game,27291,72.6,1362.4,46544.9,11:59
2026-08-28 22:49:48,60,wineserver,27386,2.5,208.7,34823.8,11:59
2026-08-28 22:49:48,60,grap,29409,0.4,327.6,42662.0,11:20
2026-08-28 22:50:18,90,game,27291,64.0,1373.9,46566.5,12:29
2026-08-28 22:50:18,90,wineserver,27386,2.2,279.4,34893.9,12:29
2026-08-28 22:50:18,90,grap,29409,0.5,327.6,42662.0,11:50
2026-08-28 22:50:48,120,game,27291,64.8,1390.1,46574.1,12:59
2026-08-28 22:50:48,120,wineserver,27386,2.8,207.0,34821.5,12:59
2026-08-28 22:50:48,120,grap,29409,1.1,338.8,42662.0,12:20
2026-08-28 22:51:18,150,game,27291,65.6,1434.2,46585.1,13:29
2026-08-28 22:51:18,150,wineserver,27386,2.7,218.7,34833.2,13:29
2026-08-28 22:51:18,150,grap,29409,1.3,338.8,42662.0,12:50
2026-08-28 22:51:48,180,game,27291,53.4,1608.7,46602.2,13:59
2026-08-28 22:51:48,180,wineserver,27386,15.2,208.0,34824.4,13:59
2026-08-28 22:51:48,180,grap,29409,31.4,339.2,42662.0,13:20
2026-08-28 22:52:18,210,game,27291,57.8,1751.1,46574.6,14:30
2026-08-28 22:52:18,210,wineserver,27386,3.0,309.2,34926.3,14:30
2026-08-28 22:52:18,210,grap,29409,0.7,334.6,42662.0,13:51
2026-08-28 22:52:49,241,game,27291,62.9,1755.8,46616.6,15:00
2026-08-28 22:52:49,241,wineserver,27386,2.8,337.0,34954.6,15:00
2026-08-28 22:52:49,241,grap,29409,1.2,338.6,42662.0,14:21
2026-08-28 22:53:19,271,game,27291,62.8,1700.7,47169.2,15:30
2026-08-28 22:53:19,271,wineserver,27386,2.8,222.3,34834.2,15:30
2026-08-28 22:53:19,271,grap,29409,1.5,370.6,42662.0,14:51
2026-08-28 22:53:49,301,game,27291,65.2,1676.2,47177.3,16:00
2026-08-28 22:53:49,301,wineserver,27386,2.4,216.3,34830.2,16:00
2026-08-28 22:53:49,301,grap,29409,0.4,372.7,42663.0,15:21
2026-08-28 22:54:19,331,game,27291,64.4,1519.7,47177.0,16:30
2026-08-28 22:54:19,331,wineserver,27386,2.2,127.5,34864.5,16:30
2026-08-28 22:54:19,331,grap,29409,0.1,372.2,42663.0,15:51
2026-08-28 22:54:49,361,game,27291,58.3,1634.5,47162.1,17:00
2026-08-28 22:54:49,361,wineserver,27386,2.5,156.8,34894.1,17:00
2026-08-28 22:54:49,361,grap,29409,2.7,372.3,42663.0,16:21
2026-08-28 22:55:19,391,game,27291,60.9,1633.7,47130.4,17:30
2026-08-28 22:55:19,391,wineserver,27386,4.0,233.5,34970.1,17:30
2026-08-28 22:55:19,391,grap,29409,2.2,372.3,42663.0,16:51
2026-08-28 22:55:49,421,game,27291,61.7,1722.1,47195.5,18:00
2026-08-28 22:55:49,421,wineserver,27386,3.7,140.0,34876.6,18:00
2026-08-28 22:55:49,421,grap,29409,4.1,372.7,42663.0,17:21
2026-08-28 22:56:19,451,game,27291,66.4,1728.4,47184.7,18:30
2026-08-28 22:56:19,451,wineserver,27386,2.3,132.7,34869.3,18:30
2026-08-28 22:56:19,451,grap,29409,1.3,372.8,42663.0,17:51
2026-08-28 22:56:50,482,game,27291,66.3,1712.5,47189.3,19:01
2026-08-28 22:56:50,482,wineserver,27386,4.0,210.2,34946.7,19:01
2026-08-28 22:56:50,482,grap,29409,0.7,372.3,42663.0,18:22
2026-08-28 22:57:20,512,game,27291,67.8,1723.4,47210.9,19:31
2026-08-28 22:57:20,512,wineserver,27386,3.0,257.0,34993.6,19:31
